field,angle,sublattice,ik,ikprime,qx,qy,qz,structure_factor
4.0,22,2,14,12,-0.03605065675233998,-0.0208138563804261,-2.1568651905532388e-18,41.26936964854251
4.0,22,2,14,13,0.0,-0.04162771276085242,-5.036666487331589e-18,42.21265214241743
4.0,22,2,14,14,0.0,0.0,0.0,64.00000000001272
4.0,23,0,0,0,0.0,0.0,0.0,63.999999999978215
4.0,23,0,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,42.21265214240968
4.0,23,0,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,9.443388150158814
4.0,23,0,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,42.2126521424102
4.0,23,0,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,16.71218027533503
4.0,23,0,0,5,5.551115123125783e-17,-0.4162771276085246,-5.0366664873315985e-17,0.00024163013309921362
4.0,23,0,0,6,0.03605065675233994,-0.4370909839889509,-5.324646617009432e-17,0.04001885760584777
4.0,23,0,0,7,0.03605065675233993,-0.3954632712280984,-4.820979968276272e-17,0.03162183243573733
4.0,23,0,0,8,0.07210131350467978,-0.4162771276085246,-5.108960097954106e-17,0.03938060314685993
4.0,23,0,0,9,0.07210131350467978,-0.37464941484767217,-4.605293449220947e-17,0.04687499994611643
4.0,23,0,0,10,-0.32445591077105895,-0.22895242018468848,-2.4448453202310898e-17,0.031621832532740875
4.0,23,0,0,11,-0.28840525401871897,-0.2497662765651148,-2.7328254499089243e-17,0.14062499978049228
4.0,23,0,0,12,-0.32445591077105895,-0.18732470742383595,-1.941178671497929e-17,1.8690254416331378e-19
4.0,23,0,0,13,-0.28840525401871897,-0.20813856380426227,-2.229158801175764e-17,0.01740814298046874
4.0,23,0,0,14,-0.28840525401871897,-0.16651085104340985,-1.7254921524426052e-17,0.015625000130247816
4.0,23,0,1,0,-0.036050656752339885,0.02081385638042621,2.8798012967783443e-18,42.21265214240968
4.0,23,0,1,1,0.0,0.0,0.0,63.999999999978215
4.0,23,0,1,2,0.03605065675233987,-0.020813856380426238,-2.8798012967783412e-18,42.21265214240968
4.0,23,0,1,3,-1.3877787807814457e-17,0.04162771276085242,5.0366664873315954e-18,41.80972616855457
4.0,23,0,1,4,0.03605065675233987,0.020813856380426182,2.156865190553254e-18,42.2126521424102
4.0,23,0,1,5,-0.03605065675233983,-0.3954632712280984,-4.748686357653764e-17,0.0316218324367156
4.0,23,0,1,6,5.551115123125783e-17,-0.4162771276085247,-5.036666487331598e-17,0.0002416301330992065
4.0,23,0,1,7,4.163336342344337e-17,-0.37464941484767217,-4.532999838598438e-17,5.027940933286277e-20
4.0,23,0,1,8,0.0360506567523399,-0.3954632712280984,-4.8209799682762715e-17,0.03162183243573735
4.0,23,0,1,9,0.0360506567523399,-0.35383555846724596,-4.3173133195431126e-17,0.017408143096545255
4.0,23,0,1,10,-0.3605065675233988,-0.20813856380426227,-2.1568651905532554e-17,0.025361866739423616
4.0,23,0,1,11,-0.32445591077105884,-0.2289524201846886,-2.4448453202310898e-17,0.03162183253274132
4.0,23,0,1,12,-0.3605065675233988,-0.16651085104340974,-1.6531985418200946e-17,0.031621832159069704
4.0,23,0,1,13,-0.32445591077105884,-0.18732470742383606,-1.9411786714979297e-17,1.8690357244341706e-19
4.0,23,0,1,14,-0.32445591077105884,-0.14569699466298364,-1.4375120227647708e-17,0.0008559513111545966
4.0,23,0,2,0,-0.07210131350467976,0.04162771276085245,5.7596025935566855e-18,9.443388150158814
4.0,23,0,2,1,-0.03605065675233987,0.020813856380426238,2.8798012967783412e-18,42.21265214240968
4.0,23,0,2,2,0.0,0.0,0.0,63.999999999978215
4.0,23,0,2,3,-0.036050656752339885,0.06244156914127866,7.916467784109937e-18,16.09947397155232
4.0,23,0,2,4,0.0,0.04162771276085242,5.0366664873315954e-18,41.80972616855457
4.0,23,0,2,5,-0.0721013135046797,-0.3746494148476721,-4.46070622797593e-17,0.046874999948596945
4.0,23,0,2,6,-0.036050656752339816,-0.39546327122809843,-4.748686357653764e-17,0.0316218324367156
4.0,23,0,2,7,-0.03605065675233983,-0.3538355584672459,-4.245019708920604e-17,0.01740814309697643
4.0,23,0,2,8,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,5.027926435186835e-20
4.0,23,0,2,9,2.7755575615628914e-17,-0.3330217020868197,-4.029333189865279e-17,0.015625000130847447
4.0,23,0,2,10,-0.3965572242757387,-0.18732470742383603,-1.8688850608754213e-17,0.17260137859480637
4.0,23,0,2,11,-0.3605065675233987,-0.20813856380426235,-2.1568651905532557e-17,0.025361866739423117
4.0,23,0,2,12,-0.3965572242757387,-0.1456969946629835,-1.3652184121422605e-17,0.039380602870390635
4.0,23,0,2,13,-0.3605065675233987,-0.16651085104340982,-1.6531985418200956e-17,0.03162183215906941
4.0,23,0,2,14,-0.3605065675233987,-0.1248831382825574,-1.1495318930869366e-17,0.04687500004349433
4.0,23,0,3,0,-0.03605065675233987,-0.02081385638042621,-2.156865190553251e-18,42.2126521424102
4.0,23,0,3,1,1.3877787807814457e-17,-0.04162771276085242,-5.0366664873315954e-18,41.80972616855457
4.0,23,0,3,2,0.036050656752339885,-0.06244156914127866,-7.916467784109937e-18,16.09947397155232
4.0,23,0,3,3,0.0,0.0,0.0,63.999999999978215
4.0,23,0,3,4,0.036050656752339885,-0.020813856380426238,-2.8798012967783412e-18,42.21265214240968
4.0,23,0,3,5,-0.036050656752339816,-0.4370909839889508,-5.2523530063869236e-17,0.040018857607528865
4.0,23,0,3,6,6.938893903907228e-17,-0.4579048403693771,-5.5403331360647574e-17,3.7732028463107307e-06
4.0,23,0,3,7,5.551115123125783e-17,-0.4162771276085246,-5.036666487331597e-17,0.00024163013309921362
4.0,23,0,3,8,0.03605065675233991,-0.4370909839889508,-5.324646617009431e-17,0.04001885760584755
4.0,23,0,3,9,0.03605065675233991,-0.3954632712280984,-4.820979968276272e-17,0.03162183243573721
4.0,23,0,3,10,-0.3605065675233988,-0.2497662765651147,-2.660531839286415e-17,0.012560118379327637
4.0,23,0,3,11,-0.32445591077105884,-0.270580132945541,-2.9485119689642494e-17,0.08460203245988764
4.0,23,0,3,12,-0.3605065675233988,-0.20813856380426216,-2.1568651905532542e-17,0.025361866739423748
4.0,23,0,3,13,-0.32445591077105884,-0.22895242018468848,-2.4448453202310892e-17,0.03162183253274132
4.0,23,0,3,14,-0.32445591077105884,-0.18732470742383606,-1.9411786714979303e-17,1.8690357244341706e-19
4.0,23,0,4,0,-0.07210131350467976,2.7755575615628914e-17,7.229361062250901e-19,16.71218027533503
4.0,23,0,4,1,-0.03605065675233987,-0.020813856380426182,-2.156865190553254e-18,42.2126521424102
4.0,23,0,4,2,0.0,-0.04162771276085242,-5.0366664873315954e-18,41.80972616855457
4.0,23,0,4,3,-0.036050656752339885,0.020813856380426238,2.8798012967783412e-18,42.21265214240968
4.0,23,0,4,4,0.0,0.0,0.0,63.999999999978215
4.0,23,0,4,5,-0.0721013135046797,-0.41627712760852453,-4.964372876709089e-17,0.039380603147990925
4.0,23,0,4,6,-0.036050656752339816,-0.43709098398895085,-5.252353006386923e-17,0.04001885760752887
4.0,23,0,4,7,-0.03605065675233983,-0.3954632712280983,-4.748686357653763e-17,0.03162183243671566
4.0,23,0,4,8,2.7755575615628914e-17,-0.41627712760852453,-5.0366664873315966e-17,0.00024163013309919627
4.0,23,0,4,9,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,5.027926435186835e-20
4.0,23,0,4,10,-0.3965572242757387,-0.22895242018468845,-2.3725517096085808e-17,0.04070756253771422
4.0,23,0,4,11,-0.3605065675233987,-0.24976627656511477,-2.6605318392864153e-17,0.012560118379327787
4.0,23,0,4,12,-0.3965572242757387,-0.18732470742383592,-1.86888506087542e-17,0.1726013785948062
4.0,23,0,4,13,-0.3605065675233987,-0.20813856380426224,-2.156865190553255e-17,0.025361866739423096
4.0,23,0,4,14,-0.3605065675233987,-0.16651085104340982,-1.6531985418200962e-17,0.03162183215906941
4.0,23,0,5,0,-5.551115123125783e-17,0.4162771276085246,5.0366664873315985e-17,0.00024163013309921362
4.0,23,0,5,1,0.03605065675233983,0.3954632712280984,4.748686357653764e-17,0.0316218324367156
4.0,23,0,5,2,0.0721013135046797,0.3746494148476721,4.46070622797593e-17,0.046874999948596945
4.0,23,0,5,3,0.036050656752339816,0.4370909839889508,5.2523530063869236e-17,0.040018857607528865
4.0,23,0,5,4,0.0721013135046797,0.41627712760852453,4.964372876709089e-17,0.039380603147990925
4.0,23,0,5,5,0.0,0.0,0.0,63.999999999978215
4.0,23,0,5,6,0.036050656752339885,-0.02081385638042632,-2.879801296778338e-18,42.21265214240959
4.0,23,0,5,7,0.03605065675233987,0.02081385638042621,2.1568651905532634e-18,42.2126521424102
4.0,23,0,5,8,0.07210131350467973,0.0,-7.229361062250747e-19,16.712180275335065
4.0,23,0,5,9,0.07210131350467973,0.04162771276085242,4.3137303811065145e-18,9.443388150160903
4.0,23,0,5,10,-0.324455910771059,0.1873247074238361,2.5918211671005086e-17,1.6499846805913924e-19
4.0,23,0,5,11,-0.288405254018719,0.1665108510434098,2.3038410374226742e-17,0.0156250001294046
4.0,23,0,5,12,-0.324455910771059,0.22895242018468864,3.0954878158336694e-17,0.03162183253297025
4.0,23,0,5,13,-0.288405254018719,0.20813856380426232,2.8075076861558344e-17,0.01740814297702242
4.0,23,0,5,14,-0.288405254018719,0.24976627656511474,3.311174334888993e-17,0.14062499977579382
4.0,23,0,6,0,-0.03605065675233994,0.4370909839889509,5.324646617009432e-17,0.04001885760584777
4.0,23,0,6,1,-5.551115123125783e-17,0.4162771276085247,5.036666487331598e-17,0.0002416301330992065
4.0,23,0,6,2,0.036050656752339816,0.39546327122809843,4.748686357653764e-17,0.0316218324367156
4.0,23,0,6,3,-6.938893903907228e-17,0.4579048403693771,5.5403331360647574e-17,3.7732028463107307e-06
4.0,23,0,6,4,0.036050656752339816,0.43709098398895085,5.252353006386923e-17,0.04001885760752887
4.0,23,0,6,5,-0.036050656752339885,0.02081385638042632,2.879801296778338e-18,42.21265214240959
4.0,23,0,6,6,0.0,0.0,0.0,63.999999999978215
4.0,23,0,6,7,-1.3877787807814457e-17,0.04162771276085253,5.0366664873316016e-18,41.8097261685544
4.0,23,0,6,8,0.036050656752339844,0.02081385638042632,2.1568651905532634e-18,42.21265214241016
4.0,23,0,6,9,0.036050656752339844,0.06244156914127874,7.193531677884853e-18,16.09947397155008
4.0,23,0,6,10,-0.3605065675233989,0.20813856380426243,2.8798012967783425e-17,0.025361866741752122
4.0,23,0,6,11,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,1.6499904993822116e-19
4.0,23,0,6,12,-0.3605065675233989,0.24976627656511496,3.383467945511503e-17,0.012560118383529283
4.0,23,0,6,13,-0.3244559107710589,0.22895242018468864,3.095487815833668e-17,0.03162183253297082
4.0,23,0,6,14,-0.3244559107710589,0.27058013294554106,3.599154464566827e-17,0.08460203246476802
4.0,23,0,7,0,-0.03605065675233993,0.3954632712280984,4.820979968276272e-17,0.03162183243573733
4.0,23,0,7,1,-4.163336342344337e-17,0.37464941484767217,4.532999838598438e-17,5.027940933286277e-20
4.0,23,0,7,2,0.03605065675233983,0.3538355584672459,4.245019708920604e-17,0.01740814309697643
4.0,23,0,7,3,-5.551115123125783e-17,0.4162771276085246,5.036666487331597e-17,0.00024163013309921362
4.0,23,0,7,4,0.03605065675233983,0.3954632712280983,4.748686357653763e-17,0.03162183243671566
4.0,23,0,7,5,-0.03605065675233987,-0.02081385638042621,-2.1568651905532634e-18,42.2126521424102
4.0,23,0,7,6,1.3877787807814457e-17,-0.04162771276085253,-5.0366664873316016e-18,41.8097261685544
4.0,23,0,7,7,0.0,0.0,0.0,63.999999999978215
4.0,23,0,7,8,0.03605065675233986,-0.02081385638042621,-2.879801296778338e-18,42.2126521424097
4.0,23,0,7,9,0.03605065675233986,0.02081385638042621,2.156865190553251e-18,42.2126521424102
4.0,23,0,7,10,-0.3605065675233989,0.1665108510434099,2.3761346480451823e-17,0.0316218321672188
4.0,23,0,7,11,-0.3244559107710589,0.14569699466298358,2.088154518367348e-17,0.0008559513102679016
4.0,23,0,7,12,-0.3605065675233989,0.20813856380426243,2.879801296778343e-17,0.025361866741752122
4.0,23,0,7,13,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,1.6499904993822116e-19
4.0,23,0,7,14,-0.3244559107710589,0.22895242018468853,3.095487815833667e-17,0.03162183253297032
4.0,23,0,8,0,-0.07210131350467978,0.4162771276085246,5.108960097954106e-17,0.03938060314685993
4.0,23,0,8,1,-0.0360506567523399,0.3954632712280984,4.8209799682762715e-17,0.03162183243573735
4.0,23,0,8,2,-2.7755575615628914e-17,0.3746494148476721,4.532999838598438e-17,5.027926435186835e-20
4.0,23,0,8,3,-0.03605065675233991,0.4370909839889508,5.324646617009431e-17,0.04001885760584755
4.0,23,0,8,4,-2.7755575615628914e-17,0.41627712760852453,5.0366664873315966e-17,0.00024163013309919627
4.0,23,0,8,5,-0.07210131350467973,0.0,7.229361062250747e-19,16.712180275335065
4.0,23,0,8,6,-0.036050656752339844,-0.02081385638042632,-2.1568651905532634e-18,42.21265214241016
4.0,23,0,8,7,-0.03605065675233986,0.02081385638042621,2.879801296778338e-18,42.2126521424097
4.0,23,0,8,8,0.0,0.0,0.0,63.999999999978215
4.0,23,0,8,9,0.0,0.04162771276085242,5.036666487331589e-18,41.80972616855457
4.0,23,0,8,10,-0.3965572242757387,0.1873247074238361,2.664114777723016e-17,0.1726013785921214
4.0,23,0,8,11,-0.3605065675233987,0.1665108510434098,2.3761346480451817e-17,0.031621832167218436
4.0,23,0,8,12,-0.3965572242757387,0.22895242018468864,3.167781426456177e-17,0.040707562529312784
4.0,23,0,8,13,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,0.0253618667417519
4.0,23,0,8,14,-0.3605065675233987,0.24976627656511474,3.383467945511501e-17,0.012560118383529151
4.0,23,0,9,0,-0.07210131350467978,0.37464941484767217,4.605293449220947e-17,0.04687499994611643
4.0,23,0,9,1,-0.0360506567523399,0.35383555846724596,4.3173133195431126e-17,0.017408143096545255
4.0,23,0,9,2,-2.7755575615628914e-17,0.3330217020868197,4.029333189865279e-17,0.015625000130847447
4.0,23,0,9,3,-0.03605065675233991,0.3954632712280984,4.820979968276272e-17,0.03162183243573721
4.0,23,0,9,4,-2.7755575615628914e-17,0.3746494148476721,4.532999838598438e-17,5.027926435186835e-20
4.0,23,0,9,5,-0.07210131350467973,-0.04162771276085242,-4.3137303811065145e-18,9.443388150160903
4.0,23,0,9,6,-0.036050656752339844,-0.06244156914127874,-7.193531677884853e-18,16.09947397155008
4.0,23,0,9,7,-0.03605065675233986,-0.02081385638042621,-2.156865190553251e-18,42.2126521424102
4.0,23,0,9,8,0.0,-0.04162771276085242,-5.036666487331589e-18,41.80972616855457
4.0,23,0,9,9,0.0,0.0,0.0,63.999999999978215
4.0,23,0,9,10,-0.3965572242757387,0.1456969946629837,2.1604481289898572e-17,0.03938060287383638
4.0,23,0,9,11,-0.3605065675233987,0.12488313828255737,1.8724679993120228e-17,0.04687500004193536
4.0,23,0,9,12,-0.3965572242757387,0.18732470742383622,2.664114777723018e-17,0.17260137859212124
4.0,23,0,9,13,-0.3605065675233987,0.1665108510434099,2.376134648045183e-17,0.03162183216721838
4.0,23,0,9,14,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,0.0253618667417519
4.0,23,0,10,0,0.32445591077105895,0.22895242018468848,2.4448453202310898e-17,0.031621832532740875
4.0,23,0,10,1,0.3605065675233988,0.20813856380426227,2.1568651905532554e-17,0.025361866739423616
4.0,23,0,10,2,0.3965572242757387,0.18732470742383603,1.8688850608754213e-17,0.17260137859480637
4.0,23,0,10,3,0.3605065675233988,0.2497662765651147,2.660531839286415e-17,0.012560118379327637
4.0,23,0,10,4,0.3965572242757387,0.22895242018468845,2.3725517096085808e-17,0.04070756253771422
4.0,23,0,10,5,0.324455910771059,-0.1873247074238361,-2.5918211671005086e-17,1.6499846805913924e-19
4.0,23,0,10,6,0.3605065675233989,-0.20813856380426243,-2.8798012967783425e-17,0.025361866741752122
4.0,23,0,10,7,0.3605065675233989,-0.1665108510434099,-2.3761346480451823e-17,0.0316218321672188
4.0,23,0,10,8,0.3965572242757387,-0.1873247074238361,-2.664114777723016e-17,0.1726013785921214
4.0,23,0,10,9,0.3965572242757387,-0.1456969946629837,-2.1604481289898572e-17,0.03938060287383638
4.0,23,0,10,10,0.0,0.0,0.0,63.999999999978215
4.0,23,0,10,11,0.03605065675233998,-0.02081385638042632,-2.8798012967783443e-18,42.21265214240952
4.0,23,0,10,12,0.0,0.04162771276085253,5.036666487331608e-18,41.8097261685544
4.0,23,0,10,13,0.03605065675233998,0.02081385638042621,2.1568651905532573e-18,42.21265214241004
4.0,23,0,10,14,0.03605065675233998,0.06244156914127863,7.193531677884846e-18,16.099473971550086
4.0,23,0,11,0,0.28840525401871897,0.2497662765651148,2.7328254499089243e-17,0.14062499978049228
4.0,23,0,11,1,0.32445591077105884,0.2289524201846886,2.4448453202310898e-17,0.03162183253274132
4.0,23,0,11,2,0.3605065675233987,0.20813856380426235,2.1568651905532557e-17,0.025361866739423117
4.0,23,0,11,3,0.32445591077105884,0.270580132945541,2.9485119689642494e-17,0.08460203245988764
4.0,23,0,11,4,0.3605065675233987,0.24976627656511477,2.6605318392864153e-17,0.012560118379327787
4.0,23,0,11,5,0.288405254018719,-0.1665108510434098,-2.3038410374226742e-17,0.0156250001294046
4.0,23,0,11,6,0.3244559107710589,-0.1873247074238361,-2.591821167100508e-17,1.6499904993822116e-19
4.0,23,0,11,7,0.3244559107710589,-0.14569699466298358,-2.088154518367348e-17,0.0008559513102679016
4.0,23,0,11,8,0.3605065675233987,-0.1665108510434098,-2.3761346480451817e-17,0.031621832167218436
4.0,23,0,11,9,0.3605065675233987,-0.12488313828255737,-1.8724679993120228e-17,0.04687500004193536
4.0,23,0,11,10,-0.03605065675233998,0.02081385638042632,2.8798012967783443e-18,42.21265214240952
4.0,23,0,11,11,0.0,0.0,0.0,63.999999999978215
4.0,23,0,11,12,-0.03605065675233998,0.06244156914127885,7.916467784109952e-18,16.09947397155217
4.0,23,0,11,13,0.0,0.04162771276085253,5.0366664873316016e-18,41.8097261685544
4.0,23,0,11,14,0.0,0.08325542552170495,1.0073332974663191e-17,9.09350838657968
4.0,23,0,12,0,0.32445591077105895,0.18732470742383595,1.941178671497929e-17,1.8690254416331378e-19
4.0,23,0,12,1,0.3605065675233988,0.16651085104340974,1.6531985418200946e-17,0.031621832159069704
4.0,23,0,12,2,0.3965572242757387,0.1456969946629835,1.3652184121422605e-17,0.039380602870390635
4.0,23,0,12,3,0.3605065675233988,0.20813856380426216,2.1568651905532542e-17,0.025361866739423748
4.0,23,0,12,4,0.3965572242757387,0.18732470742383592,1.86888506087542e-17,0.1726013785948062
4.0,23,0,12,5,0.324455910771059,-0.22895242018468864,-3.0954878158336694e-17,0.03162183253297025
4.0,23,0,12,6,0.3605065675233989,-0.24976627656511496,-3.383467945511503e-17,0.012560118383529283
4.0,23,0,12,7,0.3605065675233989,-0.20813856380426243,-2.879801296778343e-17,0.025361866741752122
4.0,23,0,12,8,0.3965572242757387,-0.22895242018468864,-3.167781426456177e-17,0.040707562529312784
4.0,23,0,12,9,0.3965572242757387,-0.18732470742383622,-2.664114777723018e-17,0.17260137859212124
4.0,23,0,12,10,0.0,-0.04162771276085253,-5.036666487331608e-18,41.8097261685544
4.0,23,0,12,11,0.03605065675233998,-0.06244156914127885,-7.916467784109952e-18,16.09947397155217
4.0,23,0,12,12,0.0,0.0,0.0,63.999999999978215
4.0,23,0,12,13,0.03605065675233998,-0.02081385638042632,-2.8798012967783505e-18,42.21265214240952
4.0,23,0,12,14,0.03605065675233998,0.0208138563804261,2.1568651905532388e-18,42.21265214241019
4.0,23,0,13,0,0.28840525401871897,0.20813856380426227,2.229158801175764e-17,0.01740814298046874
4.0,23,0,13,1,0.32445591077105884,0.18732470742383606,1.9411786714979297e-17,1.8690357244341706e-19
4.0,23,0,13,2,0.3605065675233987,0.16651085104340982,1.6531985418200956e-17,0.03162183215906941
4.0,23,0,13,3,0.32445591077105884,0.22895242018468848,2.4448453202310892e-17,0.03162183253274132
4.0,23,0,13,4,0.3605065675233987,0.20813856380426224,2.156865190553255e-17,0.025361866739423096
4.0,23,0,13,5,0.288405254018719,-0.20813856380426232,-2.8075076861558344e-17,0.01740814297702242
4.0,23,0,13,6,0.3244559107710589,-0.22895242018468864,-3.095487815833668e-17,0.03162183253297082
4.0,23,0,13,7,0.3244559107710589,-0.1873247074238361,-2.591821167100508e-17,1.6499904993822116e-19
4.0,23,0,13,8,0.3605065675233987,-0.20813856380426232,-2.879801296778342e-17,0.0253618667417519
4.0,23,0,13,9,0.3605065675233987,-0.1665108510434099,-2.376134648045183e-17,0.03162183216721838
4.0,23,0,13,10,-0.03605065675233998,-0.02081385638042621,-2.1568651905532573e-18,42.21265214241004
